Nation INDEX,Nation,City INDEX,City,Town INDEX,Town
1,阿布哈兹,1,阿布哈兹,1,阿布哈兹
2,阿富汗,2,阿富汗,2,阿富汗
3,亚美尼亚,3,亚美尼亚,3,亚美尼亚
4,阿尔萨赫,4,阿尔萨赫,4,阿尔萨赫
5,澳洲,5,澳洲,5,澳洲
6,奥地利,6,奥地利,6,奥地利
7,阿塞拜疆,7,阿塞拜疆,7,阿塞拜疆
8,巴林,8,巴林,8,巴林
9,孟加拉,9,孟加拉,9,孟加拉
10,白俄罗斯,10,白俄罗斯,10,白俄罗斯
11,比利时,11,比利时,11,比利时
12,波斯尼亚和黑塞哥维那,12,波斯尼亚和黑塞哥维那,12,波斯尼亚和黑塞哥维那
13,不丹,13,不丹,13,不丹
14,汶莱,14,汶莱,14,汶莱
15,保加利亚,15,保加利亚,15,保加利亚
16,加拿大,16,加拿大,16,加拿大
17,柬埔寨,17,柬埔寨,17,柬埔寨
18,中国,18,中国,18,中国
19,克罗地亚,19,克罗地亚,19,克罗地亚
20,塞浦路斯,20,塞浦路斯,20,塞浦路斯
21,捷克,21,捷克,21,捷克
22,丹麦,22,丹麦,22,丹麦
23,爱沙尼亚,23,爱沙尼亚,23,爱沙尼亚
24,芬兰,24,芬兰,24,芬兰
25,法国,25,法国,25,法国
26,格鲁吉亚,26,格鲁吉亚,26,格鲁吉亚
27,德国,27,德国,27,德国
28,希腊,28,希腊,28,希腊
29,匈牙利,29,匈牙利,29,匈牙利
30,香港,30,香港,30,香港
31,冰岛,31,冰岛,31,冰岛
32,印度,32,印度,32,印度
33,印尼,33,印尼,33,印尼
34,伊朗,34,伊朗,34,伊朗
35,伊拉克,35,伊拉克,35,伊拉克
36,以色列,36,以色列,36,以色列
37,爱尔兰,37,爱尔兰,37,爱尔兰
38,意大利,38,意大利,38,意大利
39,日本,39,日本,39,日本
40,约旦,40,约旦,40,约旦
41,哈萨克斯坦,41,哈萨克斯坦,41,哈萨克斯坦
42,科威特,42,科威特,42,科威特
43,吉尔吉斯斯坦,43,吉尔吉斯斯坦,43,吉尔吉斯斯坦
44,寮国,44,寮国,44,寮国
45,拉脱维亚,45,拉脱维亚,45,拉脱维亚
46,黎巴嫩,46,黎巴嫩,46,黎巴嫩
47,列支敦士登,47,列支敦士登,47,列支敦士登
48,立陶宛,48,立陶宛,48,立陶宛
49,卢森堡,49,卢森堡,49,卢森堡
50,马耳他,50,马耳他,50,马耳他
51,马来西亚,51,马来西亚,51,马来西亚
52,马尔代夫,52,马尔代夫,52,马尔代夫
53,墨西哥,53,墨西哥,53,墨西哥
54,摩尔多瓦,54,摩尔多瓦,54,摩尔多瓦
55,蒙古,55,蒙古,55,蒙古
56,缅甸,56,缅甸,56,缅甸
57,尼泊尔,57,尼泊尔,57,尼泊尔
58,荷兰,58,荷兰,58,荷兰
59,纽西兰,59,纽西兰,59,纽西兰
60,挪威,60,挪威,60,挪威
61,北韩,61,北韩,61,北韩
62,北塞浦路斯,62,北塞浦路斯,62,北塞浦路斯
63,阿曼,63,阿曼,63,阿曼
64,巴基斯坦,64,巴基斯坦,64,巴基斯坦
65,菲律宾,65,菲律宾,65,菲律宾
66,波兰,66,波兰,66,波兰
67,葡萄牙,67,葡萄牙,67,葡萄牙
68,卡塔尔,68,卡塔尔,68,卡塔尔
69,罗马尼亚,69,罗马尼亚,69,罗马尼亚
70,俄罗斯,70,俄罗斯,70,俄罗斯
71,沙地阿拉伯,71,沙地阿拉伯,71,沙地阿拉伯
72,塞尔维亚,72,塞尔维亚,72,塞尔维亚
73,新加坡,73,新加坡,73,新加坡
74,斯洛伐克,74,斯洛伐克,74,斯洛伐克
75,斯洛文尼亚,75,斯洛文尼亚,75,斯洛文尼亚
76,南韩,76,南韩,76,南韩
77,南奥塞梯,77,南奥塞梯,77,南奥塞梯
78,西班牙,78,西班牙,78,西班牙
79,斯里兰卡,79,斯里兰卡,79,斯里兰卡
80,巴勒斯坦,80,巴勒斯坦,80,巴勒斯坦
81,叙利亚,81,叙利亚,81,叙利亚
82,瑞典,82,瑞典,82,瑞典
83,瑞士,83,瑞士,83,瑞士
84,台湾,84,台湾,84,台湾
85,塔吉克斯坦,85,塔吉克斯坦,85,塔吉克斯坦
86,泰国,86,泰国,86,泰国
87,东帝汶,87,东帝汶,87,东帝汶
88,土耳其,88,土耳其,88,土耳其
89,土库曼斯坦,89,土库曼斯坦,89,土库曼斯坦
90,乌克兰,90,乌克兰,90,乌克兰
91,阿拉伯联合大公国,91,阿拉伯联合大公国,91,阿拉伯联合大公国
92,英国,92,英国,92,英国
93,美国,93,美国,93,美国
94,乌兹别克斯坦,94,乌兹别克斯坦,94,乌兹别克斯坦
95,越南,95,越南,95,越南
96,叶门,96,叶门,96,叶门
