#mode_id,mode_name,mode_pcroom,mode_minlevel,mode_maxlevel,mode_maxplayer,win_limit_id,kill_limit_id,time_limit_id,roundtime_id,clan_battle_win_limit_id,clan_battle_kill_limit_id,clan_battle_time_limit_id,clan_battle_roundtime_id,max_round_win_limit_id,max_round_kill_limit_id,max_round_time_limit_id,max_round_roundtime_id
0,#CSO_GameMode_Original,0,0,100,32,1,0,4,6,7,0,9,11,12,0,9,11
1,#CSO_GameMode_DeathMatch,0,0,100,32,0,2,5,0,0,8,10,0,0,0,0,0
2,#CSO_GameMode_TeamDeathMatch,0,0,100,32,0,3,5,0,0,8,10,0,0,0,0,0
3,#CSO_GameMode_Bot,0,0,100,32,1,0,4,6,7,0,9,11,0,0,0,0
4,#CSO_GameMode_BotDM,0,0,100,32,0,2,5,0,0,8,10,0,0,0,0,0
5,#CSO_GameMode_BotTDM,0,0,100,32,0,3,5,0,0,8,10,0,0,0,0,0
6,#CSO_GameMode_Official,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,#CSO_GameMode_Official_TieBreak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,#CSO_GameMode_Zombi,0,0,100,32,1,0,4,6,7,0,9,11,0,0,0,0
9,#CSO_GameMode_Zombi_Expand,0,0,100,32,1,0,4,6,7,0,9,11,0,0,0,0
10,#CSO_GameMode_Hidden,0,0,100,10,1,21,5,0,0,0,0,0,0,0,0,0
11,#CSO_GameMode_Zombi_Team,0,0,100,32,0,3,5,0,0,8,10,0,0,0,0,0
12,#CSO_GameMode_Challenge,0,0,100,32,1,0,15,6,7,0,9,11,12,0,9,11
13,#CSO_GameMode_Zombi_Team_Ann,0,0,100,32,1,0,4,6,7,0,9,11,12,0,9,11
14,#CSO_GameMode_Zombi_3,0,0,100,32,1,0,17,16,7,0,9,11,12,0,9,6
15,#CSO_GameMode_Zombi_Survival,0,0,100,32,1,0,4,6,7,0,9,11,0,0,0,0
16,#CSO_GameMode_Soccer,0,0,100,32,1,0,4,6,7,0,9,11,12,0,9,11
17,#CSO_GameMode_Human_Scenario,0,0,100,10,1,0,4,6,0,0,10,0,0,0,0,0
18,#CSO_GameMode_PVPVE,0,0,100,16,1,18,4,6,0,0,10,0,0,0,0,0
19,#CSO_GameMode_TDM_Item,0,0,100,32,0,3,5,0,0,8,10,0,0,0,0,0
20,#CSO_GameMode_Zombi_Escape,0,0,100,32,1,0,23,22,0,0,0,0,12,0,8,20
21,#CSO_GameMode_Bazooka,0,0,100,16,24,0,0,25,0,0,0,0,0,0,0,0
22,#CSO_GameMode_GunDeath,0,0,100,20,26,26,27,0,0,8,10,0,0,0,0,0
23,#CSO_GameMode_LightOri,0,0,100,16,29,0,4,28,7,0,9,11,12,0,9,11
24,#CSO_GameMode_BotZombie,0,0,100,16,1,0,4,6,7,0,9,11,12,0,8,20
25,#CSO_GameMode_BattleRush,0,0,100,12,11,0,23,30,7,0,9,11,12,0,9,11
26,#CSO_GameMode_ZombieShelter,0,0,100,6,0,0,31,0,0,0,0,0,0,0,0,0
27,#CSO_GameMode_Snowman,0,0,100,32,0,3,5,0,0,0,10,0,0,0,0,0
28,#CSO_GameMode_ZombieShelterT,0,0,100,8,0,0,31,0,0,0,0,0,0,0,0,0
29,#CSO_GameMode_Zombi_4,0,0,100,32,1,0,17,16,7,0,9,11,12,0,8,20
