;,,,,,
boxname,relation product id,period,quantity,"grade
0, 1, 2, 3",rate
DecoderA,435,-1,0,4,
DecoderA,421,-1,0,4,
DecoderA,399,-1,0,4,
DecoderA,495,-1,0,4,
DecoderA,415,-1,0,4,
DecoderA,283,-1,0,4,
DecoderA,379,-1,0,4,
DecoderA,310,-1,0,4,
DecoderA,279,-1,0,4,
DecoderA,280,-1,0,4,
DecoderA,530,-1,0,4,
DecoderA,548,-1,0,4,
DecoderA,487,-1,0,4,
DecoderA,169,-1,0,4,
DecoderA,171,-1,0,4,
DecoderA,330,-1,0,4,
DecoderA,203,-1,0,4,
DecoderA,440,-1,0,4,
DecoderA,405,-1,0,4,
DecoderA,222,-1,0,4,
DecoderA,398,-1,0,4,
DecoderA,202,-1,0,4,
DecoderA,170,-1,0,4,
DecoderA,420,-1,0,4,
DecoderA,441,-1,0,4,
DecoderA,434,-1,0,4,
DecoderA,590,-1,0,4,
DecoderA,583,-1,0,4,
DecoderA,496,-1,0,4,
DecoderA,488,-1,0,4,
DecoderA,549,-1,0,4,
DecoderA,484,-1,0,4,
DecoderA,341,-1,0,4,
DecoderA,243,-1,0,4,
DecoderA,364,-1,0,4,
DecoderA,380,-1,0,4,
DecoderA,346,-1,0,4,
DecoderA,221,-1,0,4,
DecoderA,309,-1,0,4,
DecoderA,244,-1,0,4,
DecoderA,406,-1,0,4,
DecoderA,220,-1,0,4,
DecoderA,354,-1,0,4,
DecoderA,172,-1,0,4,
DecoderA,253,-1,0,4,
DecoderA,254,-1,0,4,
DecoderA,154,-1,0,4,
DecoderA,152,-1,0,4,
DecoderA,602,-1,0,4,
DecoderA,515,-1,0,4,
DecoderA,516,-1,0,4,
DecoderA,151,-1,0,3,
DecoderA,153,-1,0,3,
DecoderA,155,-1,0,3,
DecoderA,150,-1,0,3,
DecoderA,328,-1,0,3,
DecoderA,329,-1,0,3,
EventDecoderA,435,-1,0,4
EventDecoderA,421,-1,0,4
EventDecoderA,399,-1,0,4
EventDecoderA,495,-1,0,4
EventDecoderA,415,-1,0,4
EventDecoderA,283,-1,0,4
EventDecoderA,379,-1,0,4
EventDecoderA,310,-1,0,4
EventDecoderA,279,-1,0,4
EventDecoderA,280,-1,0,4
EventDecoderA,530,-1,0,4
EventDecoderA,548,-1,0,4
