Nation INDEX,Nation,City INDEX,City,Town INDEX,Town
1,Abkhazia,1,Abkhazia,1,Abkhazia
2,Afghanistan,2,Afghanistan,2,Afghanistan
3,Armenia,3,Armenia,3,Armenia
4,Artsakh,4,Artsakh,4,Artsakh
5,Australia,5,Australia,5,Australia
6,Austria,6,Austria,6,Austria
7,Azerbaijan,7,Azerbaijan,7,Azerbaijan
8,Bahrain,8,Bahrain,8,Bahrain
9,Bangladesh,9,Bangladesh,9,Bangladesh
10,Belarus,10,Belarus,10,Belarus
11,Belgium,11,Belgium,11,Belgium
12,Bosnia and Herzegovina,12,Bosnia and Herzegovina,12,Bosnia and Herzegovina
13,Bhutan,13,Bhutan,13,Bhutan
14,Brunei,14,Brunei,14,Brunei
15,Bulgaria,15,Bulgaria,15,Bulgaria
16,Canada,16,Canada,16,Canada
17,Cambodia,17,Cambodia,17,Cambodia
18,China,18,China,18,China
19,Croatia,19,Croatia,19,Croatia
20,Cyprus,20,Cyprus,20,Cyprus
21,Czech Republic,21,Czech Republic,21,Czech Republic
22,Denmark,22,Denmark,22,Denmark
23,Estonia,23,Estonia,23,Estonia
24,Finland,24,Finland,24,Finland
25,France,25,France,25,France
26,Georgia,26,Georgia,26,Georgia
27,Germany,27,Germany,27,Germany
28,Greece,28,Greece,28,Greece
29,Hungary,29,Hungary,29,Hungary
30,Hong Kong,30,Hong Kong,30,Hong Kong
31,Iceland,31,Iceland,31,Iceland
32,India,32,India,32,India
33,Indonesia,33,Indonesia,33,Indonesia
34,Iran,34,Iran,34,Iran
35,Iraq,35,Iraq,35,Iraq
36,Israel,36,Israel,36,Israel
37,Ireland,37,Ireland,37,Ireland
38,Italy,38,Italy,38,Italy
39,Japan,39,Japan,39,Japan
40,Jordan,40,Jordan,40,Jordan
41,Kazakhstan,41,Kazakhstan,41,Kazakhstan
42,Kuwait,42,Kuwait,42,Kuwait
43,Kyrgyzstan,43,Kyrgyzstan,43,Kyrgyzstan
44,Laos,44,Laos,44,Laos
45,Latvia,45,Latvia,45,Latvia
46,Lebanon,46,Lebanon,46,Lebanon
47,Liechtenstein,47,Liechtenstein,47,Liechtenstein
48,Lithuania,48,Lithuania,48,Lithuania
49,Luxembourg,49,Luxembourg,49,Luxembourg
50,Malta,50,Malta,50,Malta
51,Malaysia,51,Malaysia,51,Malaysia
52,Maldives,52,Maldives,52,Maldives
53,Mexico,53,Mexico,53,Mexico
54,Moldova,54,Moldova,54,Moldova
55,Mongolia,55,Mongolia,55,Mongolia
56,Myanmar,56,Myanmar,56,Myanmar
57,Nepal,57,Nepal,57,Nepal
58,Netherlands,58,Netherlands,58,Netherlands
59,New Zealand,59,New Zealand,59,New Zealand
60,Norway,60,Norway,60,Norway
61,North Korea,61,North Korea,61,North Korea
62,Northern Cyprus,62,Northern Cyprus,62,Northern Cyprus
63,Oman,63,Oman,63,Oman
64,Pakistan,64,Pakistan,64,Pakistan
65,Philippines,65,Philippines,65,Philippines
66,Poland,66,Poland,66,Poland
67,Portugal,67,Portugal,67,Portugal
68,Qatar,68,Qatar,68,Qatar
69,Romania,69,Romania,69,Romania
70,Russia,70,Russia,70,Russia
71,Saudi Arabia,71,Saudi Arabia,71,Saudi Arabia
72,Serbia,72,Serbia,72,Serbia
73,Singapore,73,Singapore,73,Singapore
74,Slovakia,74,Slovakia,74,Slovakia
75,Slovenia,75,Slovenia,75,Slovenia
76,South Korea,76,South Korea,76,South Korea
77,South Ossetia,77,South Ossetia,77,South Ossetia
78,Spain,78,Spain,78,Spain
79,Sri Lanka,79,Sri Lanka,79,Sri Lanka
80,State of Palestine,80,State of Palestine,80,State of Palestine
81,Syria,81,Syria,81,Syria
82,Sweden,82,Sweden,82,Sweden
83,Switzerland,83,Switzerland,83,Switzerland
84,Taiwan,84,Taiwan,84,Taiwan
85,Tajikistan,85,Tajikistan,85,Tajikistan
86,Thailand,86,Thailand,86,Thailand
87,Timor-Leste,87,Timor-Leste,87,Timor-Leste
88,Turkey,88,Turkey,88,Turkey
89,Turkmenistan,89,Turkmenistan,89,Turkmenistan
90,Ukraine,90,Ukraine,90,Ukraine
91,United Arab Emirates,91,United Arab Emirates,91,United Arab Emirates
92,United Kingdom,92,United Kingdom,92,United Kingdom
93,United States,93,United States,93,United States
94,Uzbekistan,94,Uzbekistan,94,Uzbekistan
95,Vietnam,95,Vietnam,95,Vietnam
96,Yemen,96,Yemen,96,Yemen
