CT,TR,C4A,C4B,Hostage,Rescue,VIP,Start,Finish,1,2,3,4,5,Red,Blue,barricade,weapon
0,dm_tunnel,LoadingBg_DM_Tunnel,0 925 104,0 925 391,1 730 105,1 730 391,,,,,,,,,,,
1,cs_camouflage,LoadingBg_CS_Camouflage,0 619 270,0 833 286,1 653 101,1 726 129,1 845 106,4 767 124,4 842 160,5 742 292,,,,,,,
2,cs_camouflage2,LoadingBg_CS_Camouflage2,0 914 289,0 599 299,1 653 101,1 726 129,1 845 106,4 767 124,4 842 160,5 742 292,,,,,,,
3,de_rex,LoadingBg_DE_Rex,0 573 99,1 930 356,2 734 302,3 808 154,,,,,,,,,,,
4,de_dust,LoadingBg_DE_Dust,0 947 269,1 578 148,2 779 94,3 947 209,17 786 359,17 548 192,17 574 140,,,,,,,,
5,de_dust2,LoadingBg_DE_Dust2,0 656 218,1 945 292,2 642 108,3 628 359,,,,,,,,,,,
6,de_aztec,LoadingBg_DE_Aztec,0 492 177,1 938 186,2 710 300,3 573 108,,,,,,,,,,,
7,de_inferno,LoadingBg_DE_Inferno,0 944 181,1 557 325,2 748 85,3 908 308,,,,,,,,,,,
8,de_train,LoadingBg_DE_Train,0 936 395,1 594 123,2 830 374,3 900 262,,,,,,,,,,,
9,de_prodigy,LoadingBg_DE_Prodigy,0 757 425,1 799 148,2 782 243,3 746 370,,,,,,,,,,,
10,de_cbble,LoadingBg_DE_Cbble,0 937 342,1 616 187,2 935 373,3 880 93,,,,,,,,,,,
11,de_airstrip,LoadingBg_DE_Airstrip,0 887 364,1 500 312,2 730 99,3 899 295,,,,,,,,,,,
12,de_chateau,LoadingBg_DE_Chateau,0 544 262,1 920 248,2 808 353,3 695 138,,,,,,,,,,,
13,de_nuke,LoadingBg_DE_Nuke,0 950 205,1 473 204,2 752 159,3 752 214,,,,,,,,,,,
14,de_piranesi,LoadingBg_DE_Piranesi,0 498 302,1 887 213,2 693 345,3 580 79,,,,,,,,,,,
15,de_storm,LoadingBg_DE_Storm,0 645 101,1 929 377,2 550 402,3 604 102,,,,,,,,,,,
16,de_survivor,LoadingBg_DE_Survivor,0 758 425,1 738 98,2 882 363,3 585 334,,,,,,,,,,,
17,de_torn,LoadingBg_DE_Torn,0 942 194,1 603 270,2 868 174,3 850 382,,,,,,,,,,,
18,de_vertigo,LoadingBg_DE_Vertigo,0 944 140,1 807 98,2 929 178,3 640 83,,,,,,,,,,,
19,cs_italy,LoadingBg_CS_Italy,0 908 264,1 497 118,4 487 84,5 957 264,17 685 174,17 733 352,17 932 309,17 788 133,,,,,,,
20,cs_office,LoadingBg_CS_Office,0 678 408,1 895 218,4 894 152,5 732 404,,,,,,,,,,,
21,cs_747,LoadingBg_CS_747,0 512 219,1 714 238,4 767 238,4 876 238,5 670 289,5 606 318,,,,,,,,,
22,cs_assault,LoadingBg_CS_Assault,0 863 230,1 619 186,4 563 303,5 871 268,17 851 162,17 733 332,17 571 243 ,17 569 335,,,,,,,
23,cs_backalley,LoadingBg_CS_Backalley,0 661 369,1 843 254,3 861 309,4 779 230,4 757 261,5 628 230,5 869 393,,,,,,,,
24,cs_estate,LoadingBg_CS_Estate,0 920 223,1 695 293,4 700 254,5 926 264,,,,,,,,,,,
25,cs_havana,LoadingBg_CS_Havana,0 753 334,1 732 190,4 741 186,4 741 150,5 621 189,5 828 165,,,,,,,,,
26,cs_militia,LoadingBg_CS_Militia,0 930 243,1 611 240,4 632 156,4 577 212,5 938 274,,,,,,,,,,
27,cs_siege,LoadingBg_CS_Siege,0 578 120,1 929 327,4 885 331,4 956 384,5 779 291,,,,,,,,,,
28,as_oilrig,LoadingBg_AS_Oilrig,0 636 120,1 690 223,5 928 195,6 690 120,,,,,,,,,,,
29,dm_ae,LoadingBg_DM_AE,0 655 210,1 916 210,,,,,,,,,,,,,
30,awp_greesia,LoadingBg_awp_greesia,0 510 230,1 918 230,,,,,,,,,,,,,
31,zm_abyss,LoadingBg_zm_abyss,,,,,,,,,,,,,,,
32,de_dazzling_cz,LoadingBg_DE_dazzlingKR,0 948 273,1 540 327,2 753 102,3 752 344,,,,,,,,,,,
33,dm_moonlight,LoadingBg_ka_moonlight,0 603 209,1 896 209,,,,,,,,,,,,,
50,de_stadium_cz,LoadingBg_DE_Stadium_cz,0 540 233,1 920 133,2 720 221,3 761 360,,,,,,,,,,,
51,de_sienna_cz,LoadingBg_DE_sienna_cz,0 583 290,1 923 130,2 780 163,3 661 387,,,,,,,,,,,
52,de_vostok_cz,LoadingBg_DE_vostok_cz,0 671 221,1 913 376,2 947 201,3 765 104,,,,,,,,,,,
53,de_fastline_cz,LoadingBg_DE_Fastline_cz,0 557 414,1 931 213,2 643 181,3 523 382,,,,,,,,,,,
54,de_truth_cz,LoadingBg_DE_truth_cz,0 494 188,1 931 198,2 757 311,3 525 129,,,,,,,,,,,
55,DM_dust2,LoadingBg_Dm_dust2,,,,,,,,,,,,,,,
60,DM_gallery,LoadingBg_DM_Gallery,0 771 375,1 771 105,,,,,,,,,,,,,
61,de_tides_cz,LoadingBg_DE_tides_cz,0 604 383,1 634 96,2 829 246,3 655 365,,,,,,,,,,,
62,de_vegas,LoadingBg_de_vegas,0 567 300,1 886 110,2 834 350,3 561 250,,,,,,,,,,,
63,zm_abyss2,LoadingBg_zm_abyss2,,,,,,,,,,,,,,,
64,cs_downed_cz,LoadingBg_cs_downed_cz,0 933 256,1 599 236,4 520 159,4 493 331,5 942 289,,,,,,,,,,
65,DM_industry,LoadingBg_DM_industry,0 497 161,1 934 190,,,,,,,,,,,,,
66,de_corruption_cz,LoadingBg_de_corruption_cz,0 934 369,1 600 284,2 903 318,3 947 110,,,,,,,,,,,
67,DM_union,LoadingBg_DM_union,0 944 207,1 540 215,,,,,,,,,,,,,
68,awp_ruin,loadingbg_awp_ruin,0 598 368,0 880 318,1 548 146,1 837 97,,,,,,,,,,,
69,cso_jump1,LoadingBg_CSO_Jump1,7 514 119,8 931 143,,,,,,,,,,,,,
70,cso_run1,LoadingBg_CSO_Run1,7 876 334,8 673 85,,,,,,,,,,,,,
71,cso_jump2,LoadingBg_CSO_Jump2,7 755 177,8 567 153,,,,,,,,,,,,,
72,DM_champ,LoadingBg_DM_champ,0 774 415,1 938 100,,,,,,,,,,,,,
73,ZM_abyss3,LoadingBg_ZM_ABYSS3,,,,,,,,,,,,,,,
74,zs_lostcity,LoadingBg_zs_lostcity,612,613,,,,,,,,,,,,,
75,zs_2gate,LoadingBg_zs_2gate,612,613,,,,,,,,,,,,,
76,zs_trap,LoadingBg_zs_trap,612,613,,,,,,,,,,,,,
77,zs_lastclue,LoadingBg_zs_lastclue,612,613,,,,,,,,,,,,,
