Region INDEX,Region,City INDEX,City,District INDEX,District
1,Akdeniz,1,Adana,1,Aladağ
1,Akdeniz,1,Adana,2,Ceyhan
1,Akdeniz,1,Adana,3,Feke
1,Akdeniz,1,Adana,4,İmamaoğlu
1,Akdeniz,1,Adana,5,Karaisalı
1,Akdeniz,1,Adana,6,Karataş
1,Akdeniz,1,Adana,7,Kozan
1,Akdeniz,1,Adana,8,Merkez
1,Akdeniz,1,Adana,9,Pozantı
1,Akdeniz,1,Adana,10,Saimbeyli
1,Akdeniz,1,Adana,11,Seyhan
1,Akdeniz,1,Adana,12,Tufanbeyli
1,Akdeniz,1,Adana,13,Yumurtalık
1,Akdeniz,1,Adana,14,Yüreğir
1,Akdeniz,2,Antalya,15,Akseki
1,Akdeniz,2,Antalya,16,Alanya
1,Akdeniz,2,Antalya,17,Elmalı
1,Akdeniz,2,Antalya,18,Finike
1,Akdeniz,2,Antalya,19,Gazipaşa
1,Akdeniz,2,Antalya,20,Gündoğmuş
1,Akdeniz,2,Antalya,21,İbradı
1,Akdeniz,2,Antalya,22,Kale
1,Akdeniz,2,Antalya,23,Kaş
1,Akdeniz,2,Antalya,24,Kemer
1,Akdeniz,2,Antalya,25,Korkuteli
1,Akdeniz,2,Antalya,26,Kumluca
1,Akdeniz,2,Antalya,27,Manavgat
1,Akdeniz,2,Antalya,28,Merkez
1,Akdeniz,2,Antalya,29,Serik
1,Akdeniz,3,Burdur,30,Ağlasun
1,Akdeniz,3,Burdur,31,Altınyayla
1,Akdeniz,3,Burdur,32,Bucak
1,Akdeniz,3,Burdur,33,Çavdır
1,Akdeniz,3,Burdur,34,Çeltikçi
1,Akdeniz,3,Burdur,35,Gölhisar
1,Akdeniz,3,Burdur,36,Karamanlı
1,Akdeniz,3,Burdur,37,Kemer
1,Akdeniz,3,Burdur,38,Merkez
1,Akdeniz,3,Burdur,39,Tefenni
1,Akdeniz,3,Burdur,40,Yeşilova
1,Akdeniz,4,Hatay,41,Altinözü
1,Akdeniz,4,Hatay,42,Belen
1,Akdeniz,4,Hatay,43,Dörtyol
1,Akdeniz,4,Hatay,44,Erzin
1,Akdeniz,4,Hatay,45,Hassa
1,Akdeniz,4,Hatay,46,Iskenderun
1,Akdeniz,4,Hatay,47,Kirikhan
1,Akdeniz,4,Hatay,48,Kumlu
1,Akdeniz,4,Hatay,49,Merkez
1,Akdeniz,4,Hatay,50,Reyhanli
1,Akdeniz,4,Hatay,51,Samandagi
1,Akdeniz,4,Hatay,52,Yayladagi
1,Akdeniz,5,İskenderun,53,İskenderun
1,Akdeniz,6,Isparta,54,Aksu
1,Akdeniz,6,Isparta,55,Atabey
1,Akdeniz,6,Isparta,56,Eğirdir
1,Akdeniz,6,Isparta,57,Gelendost
1,Akdeniz,6,Isparta,58,Gönen
1,Akdeniz,6,Isparta,59,Keçiborlu
1,Akdeniz,6,Isparta,60,Merkez
1,Akdeniz,6,Isparta,61,Şarkikarağaç
1,Akdeniz,6,Isparta,62,Senirkent
