;,,,,,
boxname,relation product id,period,quantity,"grade
0, 1, 2, 3",rate
DecoderA,380,-1,0,4,3
DecoderA,283,-1,0,4,3
DecoderA,309,-1,0,4,2
DecoderA,243,-1,0,4,2
DecoderA,379,-1,0,4,2
DecoderA,221,-1,0,4,2
DecoderA,171,-1,0,4,2
DecoderA,222,-1,0,4,2
DecoderA,310,-1,0,4,2
DecoderA,330,-1,0,4,2
DecoderA,169,-1,0,4,2
DecoderA,202,-1,0,4,2
DecoderA,220,-1,0,4,2
DecoderA,354,-1,0,4,2
DecoderA,170,-1,0,4,2
DecoderA,244,-1,0,4,2
DecoderA,203,-1,0,4,2
DecoderA,253,-1,0,4,2
DecoderA,254,-1,0,4,2
DecoderA,341,-1,0,4,2
DecoderA,172,-1,0,4,2
DecoderA,180,45,0,3,
DecoderA,266,90,0,2,
DecoderA,14,90,0,3,
EventDecoderA,380,-1,0,4,3
EventDecoderA,283,-1,0,4,3
EventDecoderA,309,-1,0,4,2
EventDecoderA,243,-1,0,4,2
EventDecoderA,379,-1,0,4,2
EventDecoderA,221,-1,0,4,2
EventDecoderA,171,-1,0,4,2
EventDecoderA,222,-1,0,4,2
EventDecoderA,310,-1,0,4,2
EventDecoderA,330,-1,0,4,2
EventDecoderA,169,-1,0,4,2
EventDecoderA,202,-1,0,4,2
EventDecoderA,220,-1,0,4,2
EventDecoderA,354,-1,0,4,2
EventDecoderA,170,-1,0,4,2
EventDecoderA,244,-1,0,4,2
EventDecoderA,203,-1,0,4,2
EventDecoderA,253,-1,0,4,2
EventDecoderA,254,-1,0,4,2
EventDecoderA,341,-1,0,4,2
EventDecoderA,172,-1,0,4,2
EventDecoderA,180,45,0,3,
EventDecoderA,266,90,0,2,
EventDecoderA,14,90,0,3,
